"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (INR)",Impressions,Reach,Ends,"Attribution setting","Mobile app installs"
2026-09-01,2026-09-16,"Consideration from Awareness-26.03.26",active,3,actions:offsite_conversion.fb_pixel_initiate_checkout,21596.16,7000,Daily,64788.48,205951,59673,Ongoing,"7-day click, 1-day view or 1-day engaged view",68
2026-09-01,2026-09-16,"Franchise Leads - CBO  - NC",active,512,actions:leadgen.other,92.23347656,3000,Daily,47223.54,182695,92585,Ongoing,"7-day click or 1-day view",
2026-09-01,2026-09-16,"Installs - RM - NC",active,,,,"Using ad set budget",0,38991.36,232707,35174,Ongoing,"Multiple attribution settings",
2026-09-01,2026-09-16,"AppInstall - iOS - All Cities - NC - 12Sep - Ganesha",active,722,actions:mobile_app_install,55.07608033,6000,Daily,39764.93,559535,256957,Ongoing,"1-day click",722
2026-09-01,2026-09-16,"Franchise - Segment Target",active,1116,actions:leadgen.other,42.45724014,3000,Daily,47382.28,362034,187538,Ongoing,"7-day click or 1-day view",33
2026-09-01,2026-09-16,APP_Acquisition_InAppPurchases_Tier1&2_8-6-26_android,inactive,920,actions:mobile_app_install,14.40918478,"Using ad set budget",0,13256.45,465767,307084,Ongoing,"1-day click, 1-day view or 1-day engaged view",920
2026-09-01,2026-09-16,"AppInstall - Android - All Cities - NC - New",inactive,1348,actions:mobile_app_install,32.74933976,7000,Daily,44146.11,928899,454358,Ongoing,"1-day click, 1-day view or 1-day engaged view",1348
2026-09-01,2026-09-16,"App Install - Broad - Android - Old - Pause 10Sep",inactive,195,actions:mobile_app_install,22.32523077,3000,Daily,4353.42,112806,85021,Ongoing,"1-day click, 1-day view or 1-day engaged view",195
2026-09-01,2026-09-16,"App Install - Lookalike - Android - Old - Pause 10Sep",inactive,68,actions:mobile_app_install,18.24235294,"Using ad set budget",0,1240.48,22619,18038,Ongoing,"1-day click, 1-day view or 1-day engaged view",68
2026-09-01,2026-09-16,"App Install - Broad - IOS 1",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"App Install - Broad - IOS 2",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Install - Lookalike - IOS 1",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"App Install - Lookalike - IOS 2",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Install - Interest - Android - Old - Pause 10Sep",inactive,487,actions:mobile_app_install,22.86174538,4000,Daily,11133.67,297842,207749,Ongoing,"1-day click, 1-day view or 1-day engaged view",487
2026-09-01,2026-09-16,"App Install - Interest - IOS 1 – New",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"App Install - Interest - IOS 2 – new",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"App Install - Interest - Android- CBO",inactive,23,actions:mobile_app_install,11.13391304,500,Daily,256.08,7632,7033,Ongoing,"1-day click, 1-day view or 1-day engaged view",23
2026-09-01,2026-09-16,"App Install - Interest - IOS 1 – CBO",inactive,,,,2000,Daily,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"Android - All Cities - NC - 16July - 19Aug",inactive,5055,actions:mobile_app_install,30.60725816,15000,Daily,154719.69,3430419,1281227,Ongoing,"1-day click, 1-day view or 1-day engaged view",5055
2026-09-01,2026-09-16,"Event Campaign - NC - iOS",active,424,actions:mobile_app_install,18.96872642,500,Daily,8042.74,101797,73762,Ongoing,"1-day click",424
2026-09-01,2026-09-16,"App Install - Broad - IOS - All Cities",inactive,,,,3000,Daily,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"App Install - Interest - IOS - All Cities",inactive,,,,5000,Daily,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"Event Campaign - NC - Android",active,601,actions:mobile_app_install,13.39660566,500,Daily,8051.36,72670,52398,Ongoing,"1-day click, 1-day view or 1-day engaged view",601
2026-09-01,2026-09-16,"App Install - Lookalike - IOS - All Cities",inactive,,,,5000,Daily,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"RM - Initiate Checkout - NC - 16Sep - Updated",active,,,,5000,Daily,78907.52,466894,127913,Ongoing,"Multiple attribution settings",144
2026-09-01,2026-09-16,IC_Conv_Int_Adv+_241024,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Elefant_WebsiteLeads_InterestTargetings_191224,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Elefant_WebsitePurchases_NewAudiences_050225,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Lookalike - IOS - Install - NC - 12082026",inactive,,,,7000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Lookalike - IOS - Install - NC - 13082026",inactive,,,,1000,Daily,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"Interest - IOS - Install - NC - 13082026",inactive,,,,7000,Daily,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"Broad - IOS - Install - NC - 13082026",inactive,,,,1000,Daily,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"Jain Community - Abd-MB-BG - iOS",active,1059,actions:mobile_app_install,30.08462701,2000,Daily,31859.62,349415,191415,Ongoing,"1-day click",1059
2026-09-01,2026-09-16,"Jain Community - Abd-MB-BG - Android",active,1531,actions:mobile_app_install,21.006597,2000,Daily,32161.1,429840,219113,Ongoing,"1-day click, 1-day view or 1-day engaged view",1531
2026-09-01,2026-09-16,"iOS - Install - 18Aug2026",inactive,,,,6000,Daily,0,0,0,Ongoing,"1-day click",
2026-09-01,2026-09-16,"Android - Install - 18Aug2026",inactive,,,,6000,Daily,0,0,0,Ongoing,"1-day click, 1-day view or 1-day engaged view",
2026-09-01,2026-09-16,"iOS - Install - 12Sep - Ganesha - Updated",active,797,actions:mobile_app_install,59.80454203,15000,Daily,47664.22,600975,260369,Ongoing,"1-day click",797
2026-09-01,2026-09-16,"Android - Install - 18Aug2026 - New",inactive,790,actions:mobile_app_install,60.51277215,10000,Daily,47805.09,926706,430150,Ongoing,"1-day click, 1-day view or 1-day engaged view",790
2026-09-01,2026-09-16,"RM - Initiate Checkout - NC - 1Aug",inactive,18,conversions:app_custom_event.payment_initiated,2544.18388889,3000,Daily,45795.31,260597,45705,Ongoing,"1-day click",
2026-09-01,2026-09-16,"Rakhi - Android - All Cities - 27Aug",inactive,,,,5000,Daily,0,0,0,Ongoing,"1-day click, 1-day view or 1-day engaged view",
2026-09-01,2026-09-16,"Rakhi - iOS - All Cities - 27Aug - Copy",inactive,,,,3000,Daily,0,0,0,Ongoing,"From Apple's SKAdNetwork API [Click-through attribution]",
2026-09-01,2026-09-16,"Rakhi - LP - All Cities - 28Aug",inactive,9,actions:omni_landing_page_view,0,3000,Daily,0,0,0,Ongoing,"7-day click or 1-day view",
2026-09-01,2026-09-16,"Janmashtami - LP - All Cities - 02Sep",inactive,10785,actions:omni_landing_page_view,1.35831525,3000,Daily,14649.43,304000,210338,Ongoing,"7-day click or 1-day view",20
2026-09-01,2026-09-16,"Janmashtami - Android - All Cities - 03Sep",inactive,7,conversions:app_custom_event.payment_initiated,2795.21428571,5000,Daily,19566.5,195903,85369,Ongoing,"7-day click",379
2026-09-01,2026-09-16,"Janmashtami - iOS - All Cities - 03Sep",inactive,22,conversions:app_custom_event.payment_initiated,847.75681818,5000,Daily,18650.65,153255,54509,Ongoing,"7-day click",284
2026-09-01,2026-09-16,AppInstall-Lookalike-Android-10Sep,active,1431,actions:mobile_app_install,33.47642208,7000,Daily,47904.76,396155,220412,Ongoing,"1-day click, 1-day view or 1-day engaged view",1431
2026-09-01,2026-09-16,AppInstall-Broad-Android-10Sep,active,855,actions:mobile_app_install,46.39045614,7000,Daily,39663.84,683512,363478,Ongoing,"1-day click, 1-day view or 1-day engaged view",855
2026-09-01,2026-09-16,AppInstall-Interest-Android-10Sep,active,1042,actions:mobile_app_install,42.88614203,7000,Daily,44687.36,752999,422369,Ongoing,"1-day click, 1-day view or 1-day engaged view",1042
2026-09-01,2026-09-16,"Ganesha - iOS - All Cities - 11Sep",inactive,,,,5000,Daily,3685.83,27114,17985,Ongoing,"7-day click",36
2026-09-01,2026-09-16,"Ganesha - Android - All Cities - 11Sep",active,17,conversions:app_custom_event.payment_initiated,1903.27411765,7000,Daily,32355.66,322478,122322,Ongoing,"7-day click",503
2026-09-01,2026-09-16,IC_Conv_Int_Parenting_070824,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,IC_Conv_Open_PostalCode-ABO_V1_090824,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Elefant_Purchases_Remarketing_150225,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Sales_hiring,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"🟠 [01] - MB - the Elefant - Cold - Website Purchase - GT1 -  ABO",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Sales APRO Aud – Copy",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Remarketing with trail plan",inactive,,,,3000,Daily,0,0,0,Ongoing,-,
